feature1,feature2,target
-14.7682,-1.4272,0.0000
-10.7001,-10.2456,0.0000
-4.8678,-5.3311,0.0000
-2.5724,-5.7553,0.0000
-6.4322,-10.3422,0.0000
-3.8307,-16.2169,0.0000
-2.2176,-4.1403,0.0000
1.0534,1.2230,0.0000
-11.4619,-2.4284,0.0000
-8.6452,-7.3339,0.0000
-1.6038,-3.0211,0.0000
-3.0415,-5.4060,0.0000
-4.2083,-10.0720,0.0000
-7.9191,-2.3536,0.0000
-10.3210,-7.9022,0.0000
-1.7102,-5.2500,0.0000
-8.7532,-3.7355,0.0000
0.7707,-9.4530,0.0000
-11.8613,-4.5291,0.0000
-8.9559,-6.6438,0.0000
-7.5877,-9.0609,0.0000
-5.2807,-4.2487,0.0000
-10.0167,-0.7070,0.0000
0.7741,-6.0800,0.0000
-4.4253,1.4795,0.0000
-11.0827,-10.0865,0.0000
-7.0045,-5.5115,0.0000
-2.5966,-4.2707,0.0000
-13.6889,-0.6229,0.0000
0.0688,-9.6699,0.0000
-2.9629,-8.2476,0.0000
-7.2771,-8.4785,0.0000
1.5939,-9.3093,0.0000
-5.6415,-2.9670,0.0000
-9.3085,-6.5665,0.0000
-5.8905,2.2108,0.0000
-11.1173,-5.3611,0.0000
-4.3585,-6.5324,0.0000
0.8041,-5.3010,0.0000
-7.2397,-1.5862,0.0000
0.4054,-9.0577,0.0000
-1.3355,-2.0387,0.0000
-5.3954,-8.7568,0.0000
-1.2218,-2.2584,0.0000
-9.3880,-7.3799,0.0000
2.7092,-8.0701,0.0000
-14.2958,-6.4432,0.0000
-4.4039,-1.8775,0.0000
-6.8366,3.7617,0.0000
-7.2108,-4.1585,0.0000
-0.0975,-4.6686,0.0000
-15.7980,-1.8328,0.0000
-3.8595,-8.0609,0.0000
0.1336,-0.2330,0.0000
-7.4027,-11.6034,0.0000
-13.0873,-5.8482,0.0000
-7.6490,-5.6476,0.0000
-17.0127,-5.0905,0.0000
-10.6540,-6.7971,0.0000
4.8668,-5.1462,0.0000
-0.5831,-3.3409,0.0000
-1.7955,-4.3624,0.0000
-5.6532,-0.1441,0.0000
-10.7915,-7.8320,0.0000
-2.7554,-4.2383,0.0000
4.1524,-4.6863,0.0000
-5.2376,-3.4171,0.0000
-11.6811,1.7202,0.0000
-6.3934,-2.1011,0.0000
-8.6345,-11.0816,0.0000
-5.3280,-6.0111,0.0000
-2.5832,-7.2924,0.0000
6.1154,-4.3430,0.0000
-10.1153,-5.2622,0.0000
1.2073,-4.3237,0.0000
-9.3615,-7.3379,0.0000
-1.5866,1.6048,0.0000
-8.4047,1.3823,0.0000
-8.3666,4.1051,0.0000
-6.1113,-10.6198,0.0000
-6.2713,-5.2307,0.0000
-1.6848,-0.2842,0.0000
-2.4696,-9.4297,0.0000
-4.6758,-6.6668,0.0000
-4.5404,-6.8052,0.0000
-8.4786,6.5421,0.0000
-6.6387,-13.2166,0.0000
-7.0057,0.0337,0.0000
-2.9278,-8.9140,0.0000
-0.4648,4.9398,0.0000
-11.4413,-5.0352,0.0000
-1.7780,0.4537,0.0000
-3.6590,-0.7687,0.0000
-9.9825,1.6779,0.0000
-8.8689,-13.8814,0.0000
-4.4751,-4.9640,0.0000
-9.4003,-7.4208,0.0000
-3.3856,-7.1154,0.0000
-7.9963,-1.5551,0.0000
-2.4836,-9.4423,0.0000
-5.2002,-8.0967,0.0000
-4.0547,-1.8235,0.0000
11.8345,5.6492,1.0000
8.7289,3.9794,1.0000
11.2238,8.8109,1.0000
6.2885,9.2332,1.0000
-0.5220,3.0064,1.0000
7.4895,13.1711,1.0000
4.8493,8.9589,1.0000
12.7192,4.3862,1.0000
9.2591,4.9316,1.0000
16.8680,8.1490,1.0000
11.1898,4.4506,1.0000
8.6800,5.2341,1.0000
13.1696,1.9193,1.0000
16.1453,8.3202,1.0000
10.1545,4.5619,1.0000
8.7062,8.3567,1.0000
7.4649,9.2645,1.0000
1.3613,-5.2524,1.0000
10.8176,0.7080,1.0000
10.0525,1.0455,1.0000
5.1194,17.8147,1.0000
14.9075,7.5846,1.0000
5.1190,11.7525,1.0000
-2.4123,14.1406,1.0000
4.8501,3.6297,1.0000
7.8820,4.6711,1.0000
4.2294,11.4710,1.0000
7.2781,4.0064,1.0000
9.2051,10.1372,1.0000
11.0371,6.1942,1.0000
4.0547,12.5544,1.0000
6.8866,11.4024,1.0000
1.0461,2.7391,1.0000
8.3847,8.9200,1.0000
10.2310,12.9443,1.0000
13.8282,5.9128,1.0000
7.7028,11.2686,1.0000
8.6911,7.9970,1.0000
16.8575,13.2784,1.0000
-0.3331,4.9818,1.0000
6.0511,15.9247,1.0000
0.0697,10.1335,1.0000
8.5562,4.7570,1.0000
11.1366,5.9482,1.0000
0.3397,2.1618,1.0000
13.5908,4.7489,1.0000
13.5115,8.1163,1.0000
-0.4541,0.1016,1.0000
9.3559,14.5163,1.0000
7.0363,5.8354,1.0000
6.2985,6.8406,1.0000
7.3698,5.1356,1.0000
5.6300,4.6736,1.0000
6.5140,1.4383,1.0000
6.7338,10.2857,1.0000
8.4759,2.5073,1.0000
12.2464,14.8637,1.0000
0.1041,12.9189,1.0000
11.6053,5.0625,1.0000
-1.2609,10.9831,1.0000
12.8809,12.1715,1.0000
12.8157,12.8511,1.0000
7.9044,12.7327,1.0000
13.8440,8.9334,1.0000
2.8059,16.8044,1.0000
7.6737,1.9278,1.0000
12.4273,14.0868,1.0000
10.1132,9.9475,1.0000
13.4800,3.2028,1.0000
8.1477,4.8823,1.0000
11.6862,7.3832,1.0000
18.9378,9.8839,1.0000
3.6013,1.4593,1.0000
16.1102,15.7571,1.0000
9.3921,7.4495,1.0000
11.4726,6.0384,1.0000
-8.4184,1.8172,1.0000
6.9733,9.5877,1.0000
9.6946,11.5025,1.0000
2.9281,4.6668,1.0000
5.8382,10.9619,1.0000
0.2419,3.1977,1.0000
11.4949,6.2423,1.0000
9.1088,0.3349,1.0000
10.1150,14.1334,1.0000
11.5785,10.3036,1.0000
9.1891,9.8080,1.0000
10.2200,18.1212,1.0000
15.0294,7.8293,1.0000
8.7319,7.5777,1.0000
3.2217,9.4794,1.0000
6.4110,12.3212,1.0000
6.9021,8.7013,1.0000
10.9026,4.7833,1.0000
10.9875,2.6348,1.0000
8.9119,3.2961,1.0000
1.6714,8.1812,1.0000
3.3272,0.0589,1.0000
1.5466,2.6556,1.0000
7.7483,0.2956,1.0000
2.0849,8.0618,1.0000
13.5372,3.4182,1.0000
8.3448,12.7461,1.0000
9.0324,13.8580,1.0000
10.9756,3.0976,1.0000
14.5102,9.8874,1.0000
20.0710,9.5334,1.0000
15.2153,11.5117,1.0000
8.0138,6.5951,1.0000
9.6152,11.0748,1.0000
5.9077,7.7793,1.0000
7.8289,6.4956,1.0000
15.6891,12.8852,1.0000
-0.2927,10.8626,1.0000
7.9612,12.3986,1.0000
5.7806,5.5112,1.0000
6.5149,1.7927,1.0000
6.7276,13.9690,1.0000
12.0068,13.2720,1.0000
6.6144,4.2009,1.0000
-0.1509,8.3785,1.0000
16.5493,14.0110,1.0000
11.9324,13.9773,1.0000
10.8192,8.6247,1.0000
11.2984,1.9497,1.0000
1.5473,3.0266,1.0000
-0.3397,9.1977,1.0000
8.4248,8.4719,1.0000
5.8757,7.1366,1.0000
2.8890,16.0315,1.0000
12.8443,10.5024,1.0000
14.3289,6.0297,1.0000
10.8873,8.7050,1.0000
7.9021,9.1876,1.0000
9.6361,1.4756,1.0000
14.8210,2.7155,1.0000
8.7778,5.8355,1.0000
5.0386,4.5430,1.0000
4.8836,6.4387,1.0000
11.3451,11.4437,1.0000
5.8193,20.4733,1.0000
6.8687,9.5839,1.0000
8.2641,10.2815,1.0000
2.5434,5.6243,1.0000
1.8147,7.7896,1.0000
6.9649,11.2886,1.0000
6.8584,11.8026,1.0000
7.2829,17.9031,1.0000
6.8916,10.6759,1.0000
2.7074,8.5041,1.0000
17.9939,-1.8057,1.0000
12.7261,8.9483,1.0000
6.2690,12.4805,1.0000
3.3681,4.4570,1.0000
6.7580,12.9783,1.0000
3.0357,8.5373,1.0000
7.4290,7.6860,1.0000
12.3825,2.0285,1.0000
5.2928,4.7035,1.0000
11.5926,15.5395,1.0000
8.8092,10.3701,1.0000
9.2513,6.8141,1.0000
5.8282,2.8250,1.0000
17.4007,7.2351,1.0000
7.3221,8.7390,1.0000
6.0495,5.3460,1.0000
7.7849,9.7660,1.0000
6.2387,13.1014,1.0000
0.3918,9.1674,1.0000
12.7949,8.5595,1.0000
2.4574,8.9769,1.0000
4.0682,9.8743,1.0000
13.5186,15.4259,1.0000
4.4795,6.0062,1.0000
5.4423,9.8662,1.0000
12.1505,0.4739,1.0000
12.6882,15.9646,1.0000
-1.3903,9.4221,1.0000
4.8575,6.5477,1.0000
4.5474,11.7558,1.0000
10.5971,7.9737,1.0000
9.3875,16.8625,1.0000
3.8784,5.2309,1.0000
-2.1669,4.3855,1.0000
6.9513,0.0162,1.0000
11.6643,6.9902,1.0000
5.5068,2.3253,1.0000
8.7767,4.7151,1.0000
11.3790,2.3730,1.0000
7.9951,4.8007,1.0000
11.3960,5.3415,1.0000
11.3270,6.4368,1.0000
4.7134,9.2106,1.0000
9.7231,8.6909,1.0000
8.6816,12.5094,1.0000
6.0117,-0.4675,1.0000
7.0611,10.8837,1.0000
1.7139,6.7941,1.0000
11.4132,4.6699,1.0000
6.9917,4.8235,1.0000
