feature1,feature2,target
-9.4274,-2.8393,0
-6.8716,-2.0075,0
-4.8963,1.5733,0
-9.2835,-1.7844,0
-8.5607,2.4248,0
-8.9716,-2.5869,0
-7.5856,0.6467,0
-8.6384,2.8049,0
-7.0835,0.7847,0
-8.9818,-0.0688,0
-7.7711,-3.9356,0
-7.0018,-3.1087,0
-7.5499,-2.5529,0
-4.0019,0.5651,0
-6.0081,1.5918,0
-9.7941,-3.9522,0
-8.0708,1.5539,0
-7.3423,1.3604,0
-5.8777,-2.5849,0
-7.0017,3.4060,0
-8.4882,-3.5145,0
-7.9017,-0.8048,0
-6.7753,-1.5457,0
-7.3429,-3.8407,0
-6.0209,2.7485,0
-5.2520,-2.6244,0
-6.9471,-5.1684,0
-7.0095,-0.1115,0
-9.2248,0.5955,0
-7.2610,1.6273,0
-7.2795,0.4071,0
-10.8690,-2.0087,0
-8.3243,0.5141,0
-7.5109,2.5996,0
-9.0072,-0.4151,0
-7.0582,-0.4010,0
-6.6416,-0.9882,0
-5.0399,-0.5535,0
-5.5671,-0.0525,0
-4.9166,-2.4216,0
-6.6049,-0.7492,0
-7.0992,2.0660,0
-9.4730,-2.2898,0
-9.2292,0.4406,0
-10.7681,0.1673,0
-9.7278,-1.9810,0
-8.1394,0.6592,0
-8.5850,-0.8522,0
-7.5725,-0.4724,0
-12.1359,-0.7450,0
-7.3528,1.9014,0
-3.9556,1.1553,0
-7.3630,-1.6710,0
5.1259,-4.8985,1
6.7885,-7.2452,1
5.3343,-4.8466,1
7.6316,-5.6385,1
4.2342,-6.9752,1
4.4945,-6.9220,1
6.1689,-4.4878,1
6.0251,-4.3140,1
4.3583,-5.4621,1
4.4560,-5.9383,1
6.7324,-6.0421,1
2.3628,-6.3575,1
3.9919,-8.1339,1
3.8823,-4.6415,1
7.3772,-6.6916,1
6.4178,-4.3337,1
3.3598,-6.0557,1
4.9371,-5.7562,1
2.7461,-6.4938,1
6.4960,-4.2150,1
7.5899,-6.4773,1
7.6439,-5.0583,1
3.0778,-4.9229,1
4.5018,-5.2659,1
4.8550,-4.2913,1
5.3628,-6.3995,1
6.3647,-5.6376,1
4.4160,-4.1937,1
4.4225,-6.9010,1
4.2369,-8.0725,1
4.2176,-3.3683,1
3.7155,-5.9881,1
3.4328,-6.8646,1
7.1478,-4.7324,1
4.1370,-5.9912,1
3.8319,-7.1090,1
3.7062,-7.2687,1
5.4610,-5.1560,1
5.6905,-6.2396,1
3.0794,-6.0949,1
3.6929,-4.7537,1
5.7869,-4.9437,1
4.5073,-8.5612,1
6.3547,-4.2657,1
2.9023,-5.8050,1
6.6875,-7.5213,1
7.4999,-6.4936,1
3.4792,-4.0602,1
5.4165,-6.9237,1
6.2442,-8.7659,1
7.5672,-7.1544,1
5.4044,-6.5637,1
5.6169,-4.7443,1
3.8348,-4.8879,1
4.5842,-6.9728,1
4.6832,-7.4207,1
3.8748,-4.6577,1
4.7867,-4.3856,1
5.6106,-7.4509,1
2.3160,-6.9719,1
5.3735,-5.9875,1
3.8261,-4.5677,1
2.5312,-7.7800,1
5.1800,-2.8976,1
5.5854,-7.4216,1
5.8381,-5.0335,1
6.3263,-6.5796,1
3.8690,-5.8328,1
5.5873,-3.7398,1
7.9552,-7.0367,1
4.2604,-6.0899,1
4.6468,-5.3130,1
5.6869,-5.6353,1
6.9008,-6.2242,1
3.5139,-8.2070,1
3.5460,-7.4768,1
2.3364,-5.0621,1
5.2620,-6.5979,1
3.7415,-8.2358,1
3.6993,-3.3867,1
1.8735,-5.7994,1
6.0517,-5.8075,1
4.5520,-4.9138,1
3.4397,-5.2143,1
7.0233,-7.4727,1
3.8406,-5.8078,1
6.3995,-4.1062,1
5.9626,-6.9468,1
3.4240,-5.6564,1
5.5632,-7.5564,1
5.0846,-5.5301,1
6.4779,-7.4009,1
5.7877,-7.6536,1
4.3967,-6.1107,1
7.1467,-1.3129,1
5.3586,-5.2996,1
6.4249,-7.9257,1
6.0828,-7.7561,1
7.3039,-3.9586,1
5.7093,-7.1408,1
7.3589,6.3673,1
5.1559,6.8196,1
2.5784,6.6060,1
6.4087,6.4794,1
5.2054,4.6513,1
5.9101,6.2835,1
5.0128,5.2035,1
6.2108,7.7638,1
5.5489,7.2682,1
6.8753,8.2460,1
5.3191,5.6983,1
4.4132,6.0194,1
5.7806,7.3268,1
4.3965,6.2119,1
3.5906,7.7875,1
4.4464,6.5062,1
3.9827,5.5782,1
4.0299,8.4112,1
5.5082,5.7646,1
3.6598,5.1369,1
5.8043,8.3560,1
2.9764,4.7031,1
4.7514,5.1115,1
2.6536,6.0273,1
6.0621,3.7696,1
5.2983,7.3643,1
6.3864,5.4062,1
8.2594,6.7850,1
3.8530,7.3920,1
3.4124,7.2661,1
3.2152,7.1180,1
4.1747,7.6013,1
6.0475,6.6324,1
5.0829,7.5373,1
2.4497,6.6117,1
5.5847,6.7950,1
6.1685,11.2361,1
5.1652,7.1377,1
5.2155,8.2241,1
2.1421,8.4013,1
4.0330,2.8007,1
3.4752,5.7532,1
5.2747,5.9351,1
6.1552,5.9503,1
4.9106,2.9686,1
5.6892,7.4287,1
4.4051,3.3454,1
3.1099,8.3668,1
4.1427,5.0601,1
3.8411,6.9629,1
4.1687,4.7710,1
2.8697,5.8475,1
6.4156,5.7908,1
6.2476,6.2481,1
5.2091,6.2531,1
5.0487,7.4513,1
5.6899,5.1824,1
5.1819,5.8926,1
5.6858,6.2550,1
5.5863,3.9108,1
5.5368,7.8577,1
3.0905,8.2641,1
5.4201,5.7062,1
2.4481,7.5381,1
3.6288,5.2771,1
5.7720,4.5496,1
3.6044,4.3718,1
4.8425,6.8323,1
5.5699,6.5762,1
4.5133,6.1987,1
4.0241,8.8251,1
5.2754,3.2352,1
3.4878,8.2646,1
3.0675,5.3810,1
5.5708,4.4491,1
6.5084,8.3746,1
3.8336,7.5971,1
3.7396,4.5887,1
5.3475,6.3365,1
4.1571,7.1908,1
2.9223,4.7899,1
3.4757,7.0725,1
6.1369,6.9432,1
3.1677,6.1878,1
5.6472,3.7132,1
3.8380,6.9134,1
5.9951,6.3610,1
5.7666,6.4583,1
5.2120,5.8455,1
3.7676,5.6527,1
4.4302,9.2778,1
5.3680,5.9849,1
4.6719,5.8371,1
4.6150,6.7703,1
4.9584,7.1470,1
4.0169,6.4953,1
6.2405,4.3676,1
5.2373,6.3494,1
4.5266,5.3111,1
2.3768,7.6247,1
